Date,Harris_GeneralBedUsing,Harris_CovidBed
2020-03-19,2496,60
2020-03-20,2239,81
2020-03-21,1821,95
2020-03-22,1667,114
2020-03-23,3368,127
2020-03-24,5093,192
2020-03-25,4544,173
2020-03-26,3672,161
2020-03-27,4045,125
2020-03-28,3737,178
2020-03-29,3684,153
2020-03-30,4163,200
2020-03-31,4248,212
2020-04-01,3807,175
2020-04-02,3635,178
2020-04-03,4412,316
2020-04-04,4177,384
2020-04-05,3518,351
2020-04-06,3494,383
2020-04-07,4243,431
2020-04-08,4068,422
2020-04-09,5461,491
2020-04-10,3845,454
2020-04-11,4059,409
2020-04-12,2794,270
2020-04-13,4565,444
2020-04-14,4405,430
2020-04-15,4570,376
2020-04-16,4124,334
2020-04-17,3913,277
2020-04-18,4177,384
2020-04-19,4894,390
2020-04-20,4379,424
2020-04-21,4328,383
2020-04-22,4567,407
2020-04-23,4965,403
2020-04-24,5113,386
2020-04-25,4888,368
2020-04-26,4222,354
2020-04-27,4887,385
2020-04-28,5079,410
2020-04-29,4919,336
2020-04-30,5462,362
2020-05-01,5308,392
2020-05-02,3917,305
2020-05-03,4664,370
2020-05-04,5017,433
2020-05-05,5350,400
2020-05-06,5755,390
2020-05-07,5515,376
2020-05-08,5870,380
2020-05-09,5224,411
2020-05-10,4440,333
2020-05-11,4795,345
2020-05-12,5815,383
2020-05-13,5430,332
2020-05-14,6121,360
2020-05-15,6238,423
2020-05-16,5052,308
2020-05-17,5571,304
2020-05-18,5148,334
2020-05-19,5842,382
2020-05-20,5920,363
2020-05-21,5826,340
2020-05-22,5810,316
2020-05-23,5664,325
2020-05-24,5000,286
2020-05-25,5341,311
2020-05-26,5139,312
2020-05-27,5514,281
2020-05-28,6671,317
2020-05-29,6579,357
2020-05-30,5529,285
2020-05-31,5442,328
2020-06-01,5559,376
2020-06-02,6331,395
2020-06-03,5830,403
2020-06-04,6746,411
2020-06-05,6138,381
2020-06-06,5850,460
2020-06-07,6151,443
2020-06-08,6210,476
2020-06-09,6434,497
2020-06-10,6752,499
2020-06-11,6677,521
2020-06-12,6997,548
2020-06-13,6217,597
2020-06-14,5774,621
2020-06-15,6314,632
2020-06-16,6451,693
2020-06-17,6937,751
2020-06-18,7032,798
2020-06-19,7149,831
2020-06-20,6740,850
2020-06-21,6246,851
2020-06-22,6444,964
2020-06-23,7009,1126
2020-06-24,7308,1145
2020-06-25,7287,1234
2020-06-26,7177,1254
2020-06-27,6570,1322
2020-06-28,6461,1366
2020-06-29,6525,1564
2020-06-30,7334,1634
2020-07-01,7280,1589
2020-07-02,1306,1643
2020-07-03,7013,1575
2020-07-04,6923,1703
2020-07-05,6531,1787
2020-07-06,7045,1795
2020-07-07,7513,1978
2020-07-08,7545,1908
